model,Dice,mIOU,IOU,Recall,Precision,F1,False Positive Rate,MAE
MAPC,0.8556323766708374,0.8324958920478821,0.7499866545200348,0.8624279022216796,0.8552511930465698,0.8556295086033037,0.014423205863568,0.0306404198054224
MAPC-a,0.8437370538711548,0.8273556947708129,0.7313876688480377,0.8455053567886353,0.8505829274654388,0.8437342399566938,0.0137012059247354,0.0326007226016372
MAPC-b,0.8583843588829041,0.829770827293396,0.7539094388484955,0.8771423816680908,0.8481237173080445,0.8583815264714824,0.0157272237265715,0.031788771552965
