model,Dice,mIOU,IOU,Recall,Precision,F1,False Positive Rate,MAE
MAPC,0.8877495207956859,0.8795041463204792,0.8038493181977954,0.9053500826869691,0.8770332591874259,0.8877461738565762,0.0115958417674327,0.0193179720663465
MAPC-a,0.8784731264625277,0.873415836266109,0.78916804173163,0.8885089339954513,0.8795955968754632,0.8784697792723053,0.0114806676137959,0.0210303601842107
MAPC-b,0.875769596014704,0.8686126087393079,0.7850339433976582,0.8967162221670151,0.8629791779177529,0.8757663126510906,0.0131442938249425,0.0212305888084561
