model,Dice,mIOU,IOU,Recall,Precision,F1,False Positive Rate,MAE
MAPC,0.8854832748572031,0.878887544075648,0.7994885345300039,0.928468386332194,0.8540351192156473,0.8854773163618975,0.0051309508659566,0.0078878167939061
MAPC-a,0.8927885691324869,0.8844221631685892,0.808063934246699,0.9201263387997946,0.8683495819568634,0.8927824829668644,0.004001946033289,0.0069498841185122
MAPC-b,0.8748179177443186,0.8704549074172974,0.7829116483529409,0.922141452630361,0.836397777001063,0.8748120590640164,0.0055687645217403,0.0083782528915132
