test_dice_history,test_iou_history,test_miou_history,test_recall_history,test_f1_history,test_precision_history,test_fpr_history,test_mae_history
0.7865781784057617,0.6482260823249817,0.8207738995552063,0.7087534070014954,0.7865742356534908,0.883592426776886,0.004073848016560078,0.0159298162907362
0.8932445049285889,0.8070796728134155,0.8735208511352539,0.9735873937606812,0.893241906874204,0.8251466155052185,0.012994186952710152,0.015302073210477829
0.6817665100097656,0.5171771049499512,0.7376523017883301,0.626560628414154,0.6817623162520279,0.7476307153701782,0.007464992813766003,0.020981332287192345
0.8190675377845764,0.693573534488678,0.8355175256729126,0.7419787049293518,0.8190650810287673,0.9140260815620422,0.005197145976126194,0.022974152117967606
0.8547776341438293,0.7463828325271606,0.84635990858078,0.8946889042854309,0.8547756542676221,0.8182715773582458,0.017054017633199692,0.02587556466460228
0.9197048544883728,0.8513370156288147,0.8996192812919617,0.9909205436706543,0.9196996143778018,0.8580300807952881,0.005065596662461758,0.006313321180641651
0.8958798050880432,0.8113879561424255,0.8780456781387329,0.9441039562225342,0.895874209729251,0.8523327112197876,0.004296527244150639,0.006968701258301735
0.7480998039245605,0.5975663661956787,0.7761445045471191,0.8994549512863159,0.7480957843570509,0.6403402090072632,0.01572614349424839,0.018907485529780388
0.924434244632721,0.8594784140586853,0.915292501449585,0.9293020367622375,0.9244295232756065,0.919607937335968,0.002681273967027664,0.005943223834037781
0.917707622051239,0.8479129076004028,0.9030587673187256,0.9353792667388916,0.9176978320476453,0.9006725549697876,0.0017686181236058474,0.0033986412454396486
0.8385003209114075,0.7219024896621704,0.8423217535018921,0.857058048248291,0.8384939460956714,0.8207170963287354,0.004599574487656355,0.008703815750777721
0.9242857098579407,0.8592217564582825,0.9078662395477295,0.9675504565238953,0.9242810588788732,0.8847161531448364,0.0043404498137533665,0.006347649730741978
0.9580913782119751,0.9195515513420105,0.9406605958938599,0.9888193607330322,0.958089998802258,0.9292131066322327,0.009550046175718307,0.011911118403077126
0.9592174291610718,0.9216299653053284,0.9249194860458374,0.9831291437149048,0.95921683874695,0.9364402294158936,0.03238080069422722,0.03285536915063858
0.9665477275848389,0.9352596998214722,0.9439232349395752,0.9787994623184204,0.9665469392019189,0.9545974731445312,0.013327205553650856,0.018899673596024513
0.9465555548667908,0.8985318541526794,0.924552321434021,0.9829396605491638,0.9465543388630653,0.912766695022583,0.01562655344605446,0.018634527921676636
0.9535822868347168,0.911281168460846,0.9282801151275635,0.985409140586853,0.9535814108740409,0.9237454533576965,0.02537551149725914,0.02596675232052803
0.8803571462631226,0.786279559135437,0.8739414215087891,0.9293769001960754,0.8803543390484277,0.8362444043159485,0.010773631744086742,0.015413084998726845
0.8489701151847839,0.7375720739364624,0.8369134664535522,0.8904969692230225,0.8489685577059471,0.8111410140991211,0.02414185181260109,0.033804915845394135
0.8998057246208191,0.8178576827049255,0.8901896476745605,0.8914698362350464,0.8998037401615403,0.9082950353622437,0.0080901850014925,0.01827388070523739
0.9102158546447754,0.8352246284484863,0.8774252533912659,0.926262378692627,0.9102150357981776,0.89471435546875,0.039675015956163406,0.05040070787072182
0.8774383068084717,0.7816306352615356,0.8810752630233765,0.868368923664093,0.8774328027266836,0.8866879940032959,0.003588299732655287,0.007681838236749172
0.8908290863037109,0.80314701795578,0.8645543456077576,0.9707970023155212,0.8908280425406832,0.8230313062667847,0.038312219083309174,0.04014201462268829
0.7900665998458862,0.65297532081604,0.796266496181488,0.8769688606262207,0.790060519869479,0.7188245058059692,0.00784735381603241,0.011682923883199692
0.9022294878959656,0.8218607902526855,0.8898009061813354,0.9021833539009094,0.9022211810623699,0.902259111404419,0.0016822991892695427,0.004448321647942066
0.8178764581680298,0.6918685436248779,0.8158262968063354,0.8932276964187622,0.8178750047421469,0.7542468309402466,0.03596492484211922,0.043349191546440125
0.8253427147865295,0.702623188495636,0.8167394399642944,0.7123011946678162,0.8253419290331613,0.9810293912887573,0.004271320998668671,0.07126735150814056
0.890376091003418,0.8024106025695801,0.8799115419387817,0.8581660389900208,0.8903749122156787,0.9250959157943726,0.012170632369816303,0.03207903727889061
