model,Dice,mIOU,IOU,Recall,Precision,F1,False Positive Rate,MAE
MAPC,0.8720430433750153,0.8734644055366516,0.7816196282704672,0.8678384323914846,0.88356614112854,0.8720394125363898,0.0058687018075337,0.0129564596960941
MAPC-a,0.8565346300601959,0.8684844573338827,0.7629038641850153,0.8430053641398748,0.9012677272160848,0.8565310468818524,0.0056935404718387,0.0130494663802286
MAPC-b,0.8258565366268158,0.8355739613374075,0.7106293737888336,0.8227482636769613,0.8411162495613098,0.8258531347423189,0.0086416313424706,0.0178960432919363
