model,Dice,mIOU,IOU,Recall,Precision,F1,False Positive Rate,MAE
MAPC,0.944870541493098,0.92556298772494,0.8971739411354065,0.9744348724683126,0.9178701142470042,0.9448692774112968,0.0153429775188366,0.0189518220722675
MAPC-a,0.935351679722468,0.9154408474763236,0.8793626725673676,0.9578059017658234,0.9151658117771148,0.935350395090154,0.0168975906757016,0.0240305829793214
MAPC-b,0.9440585871537528,0.9227128624916076,0.8954222997029623,0.9747456113497416,0.915501226981481,0.9440573109227768,0.0178389581851661,0.0206134210651119
